Event	Start	End	Code cours
2613-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG1993-A-a
26220-07	18-10-2021 08:15:00	18-10-2021 10:15:00	CHIM0286-A-a
26475-07	18-10-2021 14:00:00	18-10-2021 17:00:00	MARK9201-A-a
26502-07	18-10-2021 10:30:00	18-10-2021 12:30:00	MATH0509-A-a
2659-07	18-10-2021 16:00:00	18-10-2021 18:00:00	SPAT0002-A-a
2674-07	18-10-2021 10:45:00	18-10-2021 12:45:00	ANAT0226-A-a
2693-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LANG5001-A-a
2697-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LANG0074-A-a
272-07	18-10-2021 10:45:00	18-10-2021 12:45:00	PHYS3038-A-a
2798-07	18-10-2021 13:00:00	18-10-2021 16:00:00	LANG1953-A-a
2809-07	18-10-2021 10:30:00	18-10-2021 12:15:00	INFO9001-A-a
2851-07	18-10-2021 09:00:00	18-10-2021 12:00:00	HAAR0164-A-a
2852-07	18-10-2021 09:00:00	18-10-2021 10:00:00	HAAR0067-A-e
2853-07	18-10-2021 09:00:00	18-10-2021 11:00:00	LROM0128-A-a
2854-07	18-10-2021 10:00:00	18-10-2021 12:00:00	LGER0002-A-c
2858-07	18-10-2021 11:00:00	18-10-2021 13:00:00	HIST0016-A-a
2860-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LCLA2061-A-a
2861-07	18-10-2021 13:00:00	18-10-2021 14:00:00	LROM9066-B-b
2862-07	18-10-2021 13:00:00	18-10-2021 15:00:00	MUSI0041-A-b
2863-07	18-10-2021 14:00:00	18-10-2021 16:00:00	GERM0011-A-a
2864-07	18-10-2021 14:00:00	18-10-2021 15:00:00	HAAR0035-A-b
2867-07	18-10-2021 15:00:00	18-10-2021 17:00:00	HREL0026-A-a
2868-07	18-10-2021 15:00:00	18-10-2021 16:00:00	LGER0007-A-c
2871-07	18-10-2021 16:00:00	18-10-2021 19:00:00	PHIL0085-A-a
2872-07	18-10-2021 17:00:00	18-10-2021 19:00:00	HAAR0120-A-a
2906-07	18-10-2021 18:00:00	18-10-2021 21:00:00	DROI1360-A-a
2912-07	18-10-2021 18:00:00	18-10-2021 21:00:00	FINA0017-A-a
2941-07	18-10-2021 08:00:00	18-10-2021 10:00:00	PATH3007-1
3072-07	18-10-2021 08:30:00	18-10-2021 12:00:00	LOCO0531-H-a
3102-07	18-10-2021 08:30:00	18-10-2021 10:00:00	EDPH2004-B-a
3113-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LANG0914-A-a
313-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LANG0074-A-a
3205-07	18-10-2021 15:30:00	18-10-2021 17:30:00	PHYL0540-A-a
3212-07	18-10-2021 13:30:00	18-10-2021 17:30:00	CHIM0710-A-a
3221-07	18-10-2021 10:45:00	18-10-2021 12:45:00	CHIM0714-A-a
323-07	18-10-2021 10:00:00	18-10-2021 12:00:00	SOCI0022-A-a
3272-07	18-10-2021 10:30:00	18-10-2021 12:30:00	BIOC0520-A-a
3303-07	18-10-2021 09:00:00	18-10-2021 12:00:00	LANG1953-A-a
3304-07	18-10-2021 13:00:00	18-10-2021 16:00:00	LANG1953-A-a
3305-07	18-10-2021 13:00:00	18-10-2021 16:00:00	LANG1953-A-a
3355-07	18-10-2021 08:00:00	18-10-2021 10:00:00	CINE0008-A-a
3358-07	18-10-2021 09:00:00	18-10-2021 11:00:00	HIST0167-A-a
3359-07	18-10-2021 09:00:00	18-10-2021 11:00:00	LGER0200-A-a
3360-07	18-10-2021 09:00:00	18-10-2021 11:00:00	LROM0148-A-a
3364-07	18-10-2021 09:00:00	18-10-2021 11:00:00	HREL0022-A-a
3365-07	18-10-2021 11:00:00	18-10-2021 13:00:00	MEDC0003-A-a
3366-07	18-10-2021 13:00:00	18-10-2021 15:00:00	PHIL0052-A-b
3368-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LGER0208-A-a
3369-07	18-10-2021 14:00:00	18-10-2021 16:00:00	LROM0200-A-a
3371-07	18-10-2021 15:00:00	18-10-2021 17:00:00	HAAR0065-A-a
3373-07	18-10-2021 08:30:00	18-10-2021 11:30:00	ECON2295-A-a
3375-07	18-10-2021 15:00:00	18-10-2021 17:00:00	ASIE0025-A-a
3378-07	18-10-2021 16:00:00	18-10-2021 18:00:00	HIST0083-A-a
3444-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LOCO0002-A-a
3544-07	18-10-2021 11:45:00	18-10-2021 13:15:00	LANG0041-A-b
3545-07	18-10-2021 09:30:00	18-10-2021 12:30:00	LANG0001-A-b
360-07	18-10-2021 13:30:00	18-10-2021 17:30:00	MATH0499-A-a
3629-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LANG0913-A-a
3632-07	18-10-2021 17:00:00	18-10-2021 20:00:00	PEDA4051-A-a
3635-07	18-10-2021 14:00:00	18-10-2021 17:00:00	LANG6006-A-a
367-07	18-10-2021 18:00:00	18-10-2021 21:00:00	FINA0036-A-a
3696-07	18-10-2021 10:30:00	18-10-2021 12:00:00	METO1018-B-a
3739-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LANG8035-A-a
3742-07	18-10-2021 08:15:00	18-10-2021 10:15:00	CHIM9275-A-a
3753-07	18-10-2021 14:30:00	18-10-2021 16:00:00	LANG1990-A-b
376-07	18-10-2021 13:00:00	18-10-2021 16:00:00	RISQ2000-A-b
3776-07	18-10-2021 13:30:00	18-10-2021 16:30:00	LANG1958-A-a
3817-07	18-10-2021 10:45:00	18-10-2021 12:30:00	PHYS2009-A-a
3837-07	18-10-2021 18:00:00	18-10-2021 20:00:00	FINA0070-A-b
3849-07	18-10-2021 09:00:00	18-10-2021 12:00:00	SPAT0007-A-b
3871-07	18-10-2021 13:30:00	18-10-2021 15:00:00	EDPH0708-A-a
3880-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LANG5001-A-a
3884-07	18-10-2021 13:30:00	18-10-2021 15:30:00	LANG0074-A-a
3946-07	18-10-2021 08:30:00	18-10-2021 12:30:00	PSYC0096-A-b
3951-07	18-10-2021 13:00:00	18-10-2021 16:00:00	PSYC0041-A-a
3958-07	18-10-2021 08:00:00	18-10-2021 10:00:00	PHYL0520-A-a
4067-07	18-10-2021 10:00:00	18-10-2021 11:30:00	LANG0040-A-b
4068-07	18-10-2021 11:00:00	18-10-2021 12:30:00	LANG0040-A-b
4076-07	18-10-2021 13:30:00	18-10-2021 15:30:00	INFO0212-A-b
409-07	18-10-2021 17:00:00	18-10-2021 19:30:00	SOCI2256-A-a
4148-07	18-10-2021 17:00:00	18-10-2021 19:00:00	LANG0913-A-a
4220-07	18-10-2021 13:30:00	18-10-2021 15:00:00	KINE0540-A-a
4230-07	18-10-2021 16:00:00	18-10-2021 18:00:00	SPAT0011-A-a
4235-07	18-10-2021 09:00:00	18-10-2021 11:00:00	LANG1812-A-a
